zip,kmtoSMM,milesToSMM,hoursDriveToSMM,city,state,latitude,longitude
55309,83.148,51.6681672,0.991666666666667,Big Lake,MN,45.358004,-93.74294
55311,45.326,28.1655764,0.563611111111111,Osseo,MN,45.102133,-93.48757
55313,81.471,50.6260794,0.9325,Buffalo,MN,45.175558,-93.85441
55315,66.475,41.307565,0.748055555555556,Carver,MN,44.736595,-93.65619
55316,47.309,29.3978126,0.569166666666667,Champlin,MN,45.170714,-93.38452
55317,46.012,28.5918568,0.551944444444444,Chanhassen,MN,44.866236,-93.54487
55318,55.589,34.5430046,0.675,Chaska,MN,44.809954,-93.6105
55319,103.804,64.5038056,1.13361111111111,Clear Lake,MN,45.470068,-93.92956
55320,104.962,65.2233868,1.07361111111111,Clearwater,MN,45.387625,-94.0599
55321,95.165,59.135531,1.20361111111111,Cokato,MN,45.085142,-94.18748
55322,76.681,47.6495734,0.876388888888889,Cologne,MN,44.768762,-93.77839
55324,116.792,72.5745488,1.51611111111111,Darwin,MN,45.057766,-94.40368
55325,104.825,65.138255,1.33027777777778,Dassel,MN,45.091115,-94.31758
55327,52.099,32.3743186,0.6425,Dayton,MN,45.217054,-93.47612
55328,62.149,38.6193886,0.772777777777778,Delano,MN,45.032489,-93.79591
55330,67.512,41.9519568,0.822777777777778,Elk River,MN,45.317152,-93.58117
55331,50.846,31.5957044,0.68,Excelsior,MN,44.901368,-93.58278
55334,120.646,74.9694244,1.34416666666667,Gaylord,MN,44.542729,-94.21773
55336,102.765,63.858171,1.11388888888889,Glencoe,MN,44.773886,-94.17294
55337,30.834,19.1602476,0.395833333333333,Burnsville,MN,44.770297,-93.27302
55338,98.067,60.9388338,1.06722222222222,Green Isle,MN,44.670908,-94.01337
55339,89.641,55.7029174,0.989444444444444,Hamburg,MN,44.730662,-93.9577
55340,49.146,30.5393244,0.673055555555556,Hamel,MN,45.07343,-93.56455
55341,63.069,39.1910766,0.808333333333333,Hanover,MN,45.15546,-93.66369
55342,153.118,95.1475252,1.64416666666667,Hector,MN,44.74323,-94.72447
55343,35.281,21.9236134,0.488611111111111,Hopkins,MN,44.921599,-93.40857
55344,34.512,21.4457568,0.450833333333333,Eden Prairie,MN,44.867013,-93.42557
55345,39.775,24.716185,0.526111111111111,Minnetonka,MN,44.915413,-93.48443
55346,42.956,26.6928584,0.533611111111111,Eden Prairie,MN,44.880435,-93.4869
55347,43.64,27.117896,0.536388888888889,Eden Prairie,MN,44.831413,-93.46031
55349,83.395,51.821653,1.03361111111111,Howard Lake,MN,45.064272,-94.07175
55350,111.999,69.5961786,1.34694444444444,Hutchinson,MN,44.896255,-94.38604
55352,69.679,43.2985306,0.783055555555556,Jordan,MN,44.657463,-93.6133
55353,129.262,80.3234068,1.36083333333333,Kimball,MN,45.328802,-94.32528
55354,90.004,55.9284856,1.12888888888889,Lester Prairie,MN,44.881515,-94.05846
55355,126.219,78.4324866,1.64083333333333,Litchfield,MN,45.104473,-94.52868
55356,42.861,26.6338254,0.547222222222222,Long Lake,MN,44.985463,-93.58388
55357,57.962,36.0175868,0.773888888888889,Loretto,MN,45.088013,-93.65053
55358,95.195,59.154173,1.08583333333333,Maple Lake,MN,45.244744,-94.00289
55359,53.905,33.496567,0.663888888888889,Maple Plain,MN,45.002212,-93.69319
55360,75.153,46.7000742,0.934722222222222,Mayer,MN,44.909362,-93.89981
55362,85.898,53.3770172,0.966944444444444,Monticello,MN,45.301337,-93.80774
55363,71.637,44.5152318,0.880277777777778,Montrose,MN,45.046143,-93.92085
55364,50.899,31.6286386,0.699444444444444,Mound,MN,44.933712,-93.66038
